surname,nationality
Woodford,English
Coté,French
Kore,English
Koury,Arabic
Lebzak,Russian
Obinata,Japanese
Rahal,Arabic
Zhuan,Chinese
Acconci,Italian
Mifsud,Arabic
Chekhoev,Russian
Essop,English
Rosenbloom,Russian
Michalovicova,Czech
Valendik,Russian
Ishinomori,Japanese
Colombo,Italian
Gallchobhar,Irish
Srour,Arabic
Strobel,German
Lysihin,Russian
Boulos,Arabic
Mnatsakanyan,Russian
Jefferson,English
Dorrington,English
Altimari,Italian
Zak,Czech
Panek,Czech
Jeffries,English
Morgenstern,German
Hakimi,Arabic
Hlavsa,Czech
Kalb,Arabic
Douthwaite,English
Yau,Chinese
Readle,English
Jones,English
Kobi,Japanese
Topham,English
Mushanaokoji,Japanese
Maloof,Arabic
Bellamy,English
Atiyeh,Arabic
Totah,Arabic
Rotast,Russian
Isa,Arabic
Saliba,Arabic
Vilchur,Russian
Lau,Chinese
Shalhoub,Arabic
Mushashibo,Japanese
Leggett,English
Snelker,Czech
Paloumbas,Greek
Esposito,Italian
Ferrero,Italian
Attia,Arabic
Zhi,Chinese
Jandr,Russian
Lilley,English
Scarsi,Italian
Ayliffe,English
Twiggs,English
Tresler,German
Zherebko,Russian
Lezhikov,Russian
Antonopoulos,Greek
Abukhov,Russian
Tuma,Arabic
Vargas,Spanish
Oliver,German
Eikhenbaum,Russian
Totah,Arabic
Kaczka,Polish
Rooijakkers,Dutch
Malouf,Arabic
Peebles,English
Riha,Czech
Jollenbeck,German
Rahlevsky,Russian
Clowes,English
D'ambrosio,Italian
Machacek,Czech
Winship,English
Davletkildeev,Russian
Adarchenko,Russian
Kalb,Arabic
Ingleby,English
Dundon,English
Gibbons,English
Miyahara,Japanese
Nedd,English
Addley,English
Gaffney,English
Okten,English
Davidson,English
Chambers,English
Blackburn,English
Méndez,Spanish
Pesaro,Italian
Zhirnikov,Russian
Provan,English
Bazzi,Arabic
Nardo,Italian
Yoshizawa,Japanese
Wooldridge,English
Jukovich,Russian
Langer,German
Divoky,Czech
Latham,English
Marqueringh,Dutch
Mansour,Arabic
Shenk,Russian
Ubina,Spanish
Edney,English
Gramenitsky,Russian
Yasuhiro,Japanese
Ekin,English
Sokolofsky,Polish
Ilyahin,Russian
Vann,English
Pedley,English
Vingilevsky,Russian
Falkenrath,German
Eastell,English
Faulkner,English
Dyerson,English
Adylov,Russian
Riha,Czech
Vinh,Vietnamese
Fuentes,Spanish
Atiyeh,Arabic
Cham,Arabic
Koemans,Dutch
Airey,English
Fakhoury,Arabic
